product_name,ingredients_text,serving_size
Premium Meats & Artisan Cheese,"Beef and pork, water, salt, spices, onion powder, paprika, garlic powder, sodium erythorbate, sodium nitrite.",75 g (2.7 oz)
Bratwurst,"Pork, water, salt, spices, onion powder",90 g (3.2 oz)
Polska Kielbasa,"Ingredients: beef and pork, water, salt, flavoring, corn syrup, garlic puree, dextrose, paprika red pepper, sodium erythorbate, sodium nitrite.",57 g (2 oz)
Turkey Breast,"Turkey breast, water, contains less than 2% of sea salt, organic sugar, potassium lactate, sodium phosphate, potassium chloride, sodium diacetate.",56 g (2 SLICES)
Originals Genoa Salami,"Pork+, sea salt, contains less than 2% of the following: turbinado sugar, natural flavoring, wine, garlic, lactic acid starter culture",28 g (1 ONZ)
Chicken Bacon,"Cured with: water, sugar, potassium lactate, salt, sodium phosphate, sodium diacetate, sodium erythorbate, sodium nitrite.",28 g (1 SLICE)
Angus Roast Beef,"Angus beef, coated with sea salt, cracked black pepper.",56 g (3 SLICES)
Stone Ground Mustard,"Vinegar, mustard seed, salt, horseradish, sugar, spices.",5 g (1 tsp)
Originals Chicken Breast,"Organic chicken breast, water, contains less than 2% of organic honey, salt, organic potato starch, carrageenan (from seaweed)",56 g (3 SLICES)
Honey Mustard,"Sugar, cider vinegar, clover honey, mustard flour, water, soybean oil, and salt.",6.2 g (1 tsp)
"Champagne Dill Mustard Deli Complements, Mustard","Water, mustard seed, distilled vinegar, salt, white wine, champagne, dill weed, citric acid, tartaric acid, and spices.",5 g (1 tsp)
Sweet & Hot Mustard,"Water, mustard seed, distilled vinegar, sugar, honey, salt, spices.",5 g (1 tsp)
"Mustard, Cranberry Honey","Sugar, vinegar, honey, mustard seed, cranberries, water, soybean oil, salt, spices, turmeric, fd&c red 40.",5 g (1 tsp)
Sour Garlic Puckles,"Cucumbers, water salt, vinegar, garlic, dill, 1/10 of 1% sodium benzoate (preservative), tumeric, natural spices, flavorings.",30 g (30 g)
Oven Roasted Chicken Breast,"Chicken breast+, water, contains less than 2% of honey, salt, potato starch, carrageenan (from seaweed).",56 g (3 SLICES)
Cheeses,"Pork, salt, sugar, dextrose, spices, sodium erythorbate, potassium nitrate, lactic acid starter culture, garlic, sodium nitrite.",28 g (1 oz)
Swiss Cheese,"Cultured part skim milk, salt, enzymes.",21 g (0.75 oz)
Premium Meats & Artisan Cheeses,"Pork, salt, sugar, spices, garlic, sodium nitrite.",56 g (2 oz)
Artisan Cheeses,"Ingredients: aged new york state cheddar cheese (milk, cultures, salt, enzymes), peppadew sweet picante peppers, trisodium citrate.",28 g (28 g)
Artisan Provolone Cheese,"Pasteurized milk, cheese cultures, salt enzymes.",21 g (0.75 oz)
Smoked Provolone Cheese,"Provolone cheese with natural smoke flavor (pasteurized milk, cheese cultures, salt, enzymes, natural smoke flavor).",21 g (1 SLICE)
Sliced Cheddar Cheese,"Cheddar cheese (pasteurized milk, cheese cultures, salt, enzymes, annatto color).",21 g (1 SLICE)
White American Pasteurized Process Cheese,"American cheese (culture milk, salt, enzymes), water, cream, sodium phosphate, salt, sorbic acid.",21 g (0.75 ONZ)
Cloby Jack Cheese,"Colby jack cheese (pasteurized milk, cheese cultures, salt, enzymes, annatto color).",21 g (1 SLICE)
Ny State Aged Cheddar Cheese With Horseradish,"Aged cheddar cheese (milk, cultures, salt, enzymes), ground horseradish, sodium phosphate, horseradish flavor.","28 g (1 "" CUBE | ABOUT A)"
Monterey Jack Blue Cheese,"Pasteurized culture whole milk, salt, enzymes, natural blue cheese flavor, penicillum rocqueforti, spices.",21 g (1 SLICE)
Monterey Jack Cheese With Jalapeno,"Cultured pasteurized milk, red and green jalapeno peppers, salt, enzymes.",21 g (1 SLICE)
Danish Style Havarti Cheese,"Pasteurized whole milk, enzymes, salt, vegetable color.",28 g (1 oz)
Jalapeno Spread,"Peppers, water, onion, distilled water, salt, calcium chloride, 1/10 1% sodium benzoate, sodium bisulfite (preservative),",28 g (1 oz)
"Pasteurized Process Ny State Cheddar Cheese, Habanero & Jalapeno","Aged cheddar cheese (milk, cultures, salt, enzymes), habanero peppers, jalapeno peppers, cayenne peppers, trisodium citrate, annatto.",28 g (1 oz)
Hoagie Dressing,"Canola oil, red wine vinegar, extra virgin olive oil, salt, sugar, oregano, basil, mustard powder, black pepper",15 ml (1 Tbsp)
Sliced Peperoncini,"Peppers, water, distilled vinegar, salt, citric acid, benzoate, sodium bisulfite (preservative).",28 g (1 oz)
Mild Giardiniera,"Peppers, soybean oil, celery, cauliflower, carrots, olive, sodium benzoate, sodium metabisulfite, and fd&c yellow #5.",15 g (1 Tbsp)
Hot Giardiniera,"Peppers, soybean oil, celery, cauliflower, carrots, olives, sodium benzoate, sodium metabisulfite, and fd&c yellow #5.",15 g (1 Tbsp)
Colby Jack Cheese,"Pasteurized milk, cheese culture, salt, annatto color, enzymes.",28 g (1 IN. CUBE | ABOUT)
Horseradish Cheddar,"Aged cheddar cheese(milk, cultures, salt, enzymes), ground horseradish, trisodium citrate, horseradish flavor.",1 ounce (28 g)
"Keoki's, Lau Lau Pork","Taro leaves, pork, pork fat, sablefish, salt (all warped in ti leaves",283 g (1 LAU LAU)
"Banquet Better, Premium Sweet Cream Salted Butter","Grade a pasteurized sweet cream (milk), salt.",14 g (1 Tbsp)
Anise Candy,"Sugar, corn syrup, anise oil, artificial color.",16 g (16 g)
Wilhelmina Peppermints,"Sugar, gelatin, modified starch, stearic acid, peppermint oil, magnesium stearate.",14 g (14 g)
English Peppermints,"Sugar gelatin, modified starch, peppermint oil.",14 g (14 g)
All Natural Cracked Wheat,"Wheat flour, malted barley flour, water, cracked wheat, salt, yeast.",41 g (41 g)
"Rye, All Natural","Wheat flour, malted barley flour, water, rye chops, caraway seeds, salt, yeast.",41 g (41 g)
100% Whole Wheat,"Whole wheat flour, water, salt, yeast",41 g (41 g)
White Bread,"Wheat flour, malted barley flour, water, salt, yeast",41 g (1 SLICE)
Raisin Sunflower,"Wheat flour, malted barley flour, water, whole wheat flour, raisins, sunflower seeds, salt, yeast.",41 g (41 g)
Oat Bran,"Wheat flour, malted barley flour, whole wheat flour, water, rolled oats, wheat bran, salt, yeast.",41 g (1 SLICE)
Italian Bread,"Unbleached flour (malted barley flour), water, salt, yeast.",57 g (57 g)
Seasoned Green Beans,"Green beans, water, dehydrated onion, salt, dehydrated red pepper, garlic powder.",121 g (0.5 cup)
Whole Green Beans,"Green beans, water and sea salt.",120 g (0.5 cup)
"Basha's, Fat Free Milk","Fat free milk, vitamin a palmitate and vitamin d3.",236 ml (1 cup)
"Bashas', Light Sour Cream","Cultured cream, nonfat dry milk, modified corn starch, sodium phosphate, guar gum, carrageenan, locust bean gum, vitamin a palmitate.",30 g (2 Tbsp)
"Fiesta!, Soda, Cola","Carbonated water, high fructose corn syrup, caramel color, phosphoric acid, potassium benzoate (as a preservative), natural flavor, caffeine.",355 ml (1 CAN)
"Fiesta!, Soda, Lemon Lime","Carbonated water, high fructose corn syrup, citric acid, potassium benzoate (as a preservative), potassium citrate, natural flavor.",355 ml (1 CAN)
"Fiesta!, Diet Cola","Carbonated water, caramel color, phosphoric acid, potassium benzoate (as a preservative), sucralose, acesulfame potassium, natural flavors and caffeine.",355 ml (1 CAN)
"Fiesta!, Soda, Ginger Ale","Carbonated water, high fructose corn syrup, citric acid, natural flavor, potassium benzoate (as a preservative), and caramel color.",240 ml (8 fl oz)
"Fiesta!, Cream Soda, Vanilla","Carbonated water, high fructose corn syrup, potassium benzoate (as a preservative), caramel color, citric acid, artificial and natural flavor.",355 ml (1 CAN)
Corn Tortilla,"Ground white corn masa flour, water, ascorbic acid, cellulose gum, calcium propionate, fumaric acid, guar gums and enzymes.",51 g (2 TORTILLAS)
"Fiesta!, Diet Soda, Ginger Ale","Carbonated water, citric acid, natural flavor, potassium benzoate (as a preservative), sucralose acesulfame potassium and caramel color.",240 ml (8 fl oz)
"Aj's Purveyors Of Fine Foods, 100% Extra Virgin California Olive Oil",100% extra virgin california olive oil,14 g (1 Tbsp)
"Aj's Fine Foods, Sparkling Soda, French Lemonade","Carbonated water, sugar, natural lemon flavor (including sicilian lemon juice), citric acid.",240 ml (8 fl oz)
Sparkling Soda,"Carbonated water, sugar, natural flavor, citric acid, natural coconut and lime flavors.",240 ml (8 fl oz)
Intense Dark Chocolate,"Dark chocolate [coco mass, sugar, cocoa butter, soy lecithin (emulsifier), and natural vanilla extract].",57 g (1 BAR)
Ham,"Cured with: water, honey, salt, dextrose, modified corn starch, potassium lactate, sodium phosphate, sodium diacetate, sodium erythorbate, and sodium nitrite.",38 g (1 SLICE)
Candies,"Sugar, natural chili powder, iodized salt, citric acid, artificial flavors & colors.",6 g (1 PIECE)
"Food City, Adobo Con Sazon","Salt, spices (including turmeric and paprika for color and spice), garlic powder, monosodium glutamate, and tricalcium phosphate (to make free-flowing).",1 g (0.25 tsp)
Onion Salt,"Salt, onion, and silicon dioxide (to make free flowing)",1.1 g (0.25 tsp)
"Food City, Banana Chips","Bananas, coconut oil, cane sugar, natural banana flavoring.",28 g (1 ONZ)
"Food City, Mixed Dried Fruit","Pitted prunes, angelino plums, apricots, kiwi, peaches, pears, apples, sulphur dioxide, potassium sorbate.",28 g (1 ONZ)
"Food City, Shredded Coconut","Coconut, sodium metabisulfite as a preservative.",28 g (1 ONZ)
"Food City, Fruit Seasoning","Iodized salt, sugar, red peppers, citric acid, dehydrated lime juice, silicon dioxide to preserve freshness and fd&c yellow #5.",1.2 g (0.25 tsp)
"Food City, Seasoning, Salt & Lime","Iodized salt, citric acid, sugar, dehydrated lime juice, natural lime flavor, silicon dioxide and tricalcium phosphate to preserve freshness.",1.2 g (0.25 tsp)
"Hard Candy, Butterscotch","Isomalt, milkfat [from milk], salt, natural and artificial flavors, acesulfame potassium, colors (yellow 5, yellow 6), soy lecithin.",15 g (15 g)
Low Glycemic Peanut Butter,"Peanuts, hydrogenated vegetable oil (rapeseed, cottonseed, soybean) to prevent separation.",32 g (2 Tbsp)
Peeled & Deveined Shrimp,"Shrimp, water, sodium tripolyphosphate (to retain moisture), sodium bisulfite (as a preservative).",112 g (4 ONZ)
Hardwood Smoked Bacon,"Cured with: water, salt, brown sugar, sodium phosphate, sodium eryothorbate, natural smoke flavor, sugar, sodium nitrite, flavorings.",8 g (1 PAN FRIED SLICE)
"Hill's, Smoked Peppered Bacon Ends And Pieces, Smoke","Cured with: water, salt, brown sugar, sodium phosphate, sodium erythorbate, natural smoke flavor, sugar, sodium nitrite, flavorings.",28 g (1 ONZ)
"Hill's, Peppered Double Smoked Thick Sliced Bacon","Water, salt, brown sugar, sodium phosphate, sodium erythorbate, natural smoke flavor, sugar, sodium nitrite, flavorings.",19 g (2 SLICES)
Maple Syrup Sausage Links,"Pork, water, salt, dextrose, maple flavor, sugar, natural flavorings, spices extractives, silicon dioxide, collagen.",40 g (2 FRIED LINKS)
Pickles & Peppers,"Cucumbers, peppers, water, salt, vinegar, garlic, alum, natural flavor, tumeric, and 1/10 of 1% sodium benzoate as a preservative.",28 g (1 oz)
Pickles & Peppers,"Cucumbers, peppers, water, salt, vinegar, garlic, alum, natural flavor, tumeric, and, 1/10 of 1% sodium benzoate as a preservative.",28 g (1 oz)
Sweet Hot Jalapenos,"Peppers, sugar, water, vinegar, salt, natural flavors, calcium chloride and 1/10 of 1% benzoate of soda added as a preservative.",14 g (4 SLICES | ABOUT)
"Sweet Hots, Pickles & Peppers","Cucumbers, peppers, water, sugar, vinegar, salt, garlic, alum, natural flavor, turmeric, and 1/10 of 1% sodium benzoate as a preservative.",28 g (1 oz)
"Sweet Hots Pickles & Peppers, Sweet Hots","Cucumbers, peppers, water, sugar, vinegar, salt, garlic, alum, natural flavor, tumeric and 1/10 of 1% sodium benzoate as a preservative.",28 g (2 CHUNKS | ABOUT)
Really Chunky Dills With Garlic,"Cucumbers, water, salt, vinegar, garlic, alum, natural flavor, spices, tumeric, and, 1/10 of 1% sodium benzoate as a preservative.",28 g (1 oz)
"Sweet & Hot Skinnies Pickles & Peppers, Sweet Hot","Cucumbers, peppers, water, sugar, vinegar, salt, garlic, alum, natural flavors, tumeric, and 1/10 of 1% sodium benzoate as a preservative.",28 g (1 oz)
"Hungarian Banana Peppers, Hot","Banana peppers, water, salt, vinegar, turmeric, polysorbate 80.",28 g (1 PEPPER | ABOUT)
Hungarian Banana Peppers,"Banana peppers, water, salt, vinegar, tumeric, polysorbate 80.",28 g (1 PEPPER | ABOUT)
Bread & Butter Pickles,"Cucumbers, water, sugar, onions, vinegar, salt, spices, tumeric, polysorbate 80.",28 g (1 oz)
"Hungarian Salsa, Medium","Tomatoes, tomato juice, peppers, onions, vinegar, salt, dehydrated garlic, modified food starch, citric acid, calcium chloride, spices.",32 g (2 Tbsp)
Barbeque Sauce,"Tomato paste, distilled vinegar, brown sugar, corn syrup, salt, powdered onion and other all natural spices.",38 g (2 Tbsp)
"Warheads, Sour Jelly Beans Candy, Sour","Sugar, glucose syrup, modified corn starch, fumaric acid, artificial flavors, citric acid, red 40 yellow 5, yellow 6, blue 1.",40 g (30 PIECES)
Super Sour Jumbo Candy Cane,"Sugar, corn syrup, water, tartaric acid, citric acid, artificial flavors, fd&c red 40, blue 1, yellow 5, titanium dioxide.",30 g (0.5 PIECES)
"Ruby Kist, Apple Juice Cocktail","Filtered water, high fructose corn syrup, apple juice concentrate, natural flavors, malic acid, caramel color, ascorbic acid (vitamin c).",240 ml (8 fl oz)
100% Orange Juice,"Filtered water orange juice concentrate, ascorbic acid (vitamin c).**",240 ml (8 fl oz)
100% Prune Juice,"Filtered water, prune juice concentrate, ascorbic acid (vitamin c).* *ingredient not found in regular prune juice.",240 ml (8 fl oz)
Fruit Cocktail In Heavy Syrup,"Diced peaches, diced pears, water, corn syrup, grapes, pineapple segments, halved cherries colored red with carmine, sugar.",128 g (0.5 cup)
100% Extra Virgin Olive Oil,100% extra virgin olive oil.,15 ml (1 Tbsp)
Pure Apple Cider Vinegar,Pure vinegar made from apples and filtered water.,15 ml (1 Tbsp)
Diced Tomatoes,"Ingredients: tomatoes, tomato juice, less than 2% of: salt, calcium chloride, citric acid.",121 g (0.5 cup)
Pinto Beans,"Pinto beans, water, salt, calcium chloride (firming agent), disodium edta (added for color retention).",115 g (0.5 cup)
Black Beans,"Black beans, water, salt, calcium chloride (a firming agent) and/or ferrous gluconate (to promote color retention).",130 g (0.5 cup)
Light Red Kidney Beans,"Light red kidney beans, water, corn syrup, salt, calcium chloride (firming agent), disodium edta (added for color retention).",130 g (0.5 cup)
"Peanut Butter, Creamy","Peanuts, sugar, hydrogenated vegetable oil (rapeseed, cottonseed and soybean), salt, molasses,",32 g (2 Tbsp)
Instant White Rice,"Enriched precooked long grain rice [rice, niacin (niacinamide), iron (ferric orthophosphate), thiamin (thiamon mononitrate), folic acid].",44 g (0.5 cup)
All Purpose Flour,"Enriched bleached flour (wheat flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid, enzymes added to improve baking).",30 g (0.25 cup)
Chunk Light Tuna In Oil,"Ingredients: light tuna, soybean oil, water, vegetable broth, salt",56 g (2 oz)
Colby & Monterey Jack Cheese,"Cultured pasteurized milk, salt, enzymes, annatto color (in colby cheese).",28 g (1 oz)
Peppermint Starlights,"Sugar, corn syrup, titanium dioxide (for color) fd&c red 40, natural peppermint oil.",15 g (3 PIECES) | ()
Soft And Chewy Circus Peanuts,"Sugar, corn syrup, corn syrup, gelatin, high fructose corn syrup, artificial color (fd&c yellow #6), artificial flavor.",36 g (4 PIECES)
Cinnamon Apple Sauce,"Apples, corn syrup, high fructose corn syrup, sugar, water, cinnamon, natural flavor, erythorbic acid (to maintain color).",128 g (0.5 cup)
"Apple Sauce, Original","Apples, corn syrup, high fructose corn syrup, sugar, water, erythorbic acid (to maintain color).",128 g (0.5 cup)
Apple Sauce,"Apples corn syrup, high fructose corn syrup, water, ascorbic acid (vitamin c), erythorbic acid (to maintain color).",113 g (113 g)
Apple Butter,"Apples, corn syrup, high fructose corn syrup, spices.",17 g (1 Tbsp)
Zero Calorie Sweetener Aspartame,"Dextrose with maltodextrin, aspartame, acesulfame potassium.",1 g (1 g)
"Salsa Chunky, Medium","Diced tomatoes, water, jalapeno peppers, tomato paste, onions, distilled vinegar, dehydrated onions, salt, dehydrated garlic, natural flavor.",30 g (2 Tbsp)
Sliced Carrots,"Carrots, water, salt, calcium chloride used as a firming agent.",120 g (0.5 cup)
Cherry,"Sugar, glucose syrup, water, artificial flavor, artificial colors (red 40, blue 1, yellow 5, yellow 6), titanium dioxide (for color).",10 g (10 g)
Candy Canes,"Sugar, glucose syrup, water, artificial flavors, artificial colors (red 40, blue 1), titanium dioxide (for color).",10 g (10 g)
Candy Canes,"Sugar, glucose syrup, peppermint oil, titanium dioxide (for color), artificial color (fd&c red no. 40).",10 g (10 g)
Garlic & Herb Salt Free Seasoning,"Garlic, onion, spices, carrot, orange peel, and garlic oil.",0.7 g (0.25 tsp)
Stevia Zero Calorie Sweetener,"Dextrose, stevia extract, cellulose powder, natural flavors.",1 g (1 g)
100% Grape Juice,"Filtered water, grape juice concentrate, citric acid, ascorbic acid (vitamin c)",240 ml (8 fl oz)
Cayenne Pepper Hot Sauce,"Aged cayenne pepper mash, vinegar, salt and xanthan gum.",5 ml (1 tsp)
Whole Potatoes,"Potatoes, water, salt, calcium chloride.",165 g (0.666 cup)
Assorted Fruit Discs,"Sugar, corn syrup, citric acid, natural and artificial flavors, yellow 6, red 40, yellow 5, blue 1 and red 3.",15 g (3 PIECES)
Cinnamon Discs Candy,"Sugar, corn syrup, artificial flavor, fd&c red 40, blue 1, red 3.",16 g (3 PIECES)
Dried Pineapple,"Dried pineapple, sugar, citric acid, sulfur dioxide (to preserve color).",40 g (0.25 cup)
Spicy Brown Mustard,"Distilled vinegar, #1 mustard seed, salt, spices & turmeric.",5 g (1 tsp)
Yellow Mustard,"Distilled vinegar and water, #1 mustard seed, salt, turmeric, spices & paprika.",5 g (1 tsp)
Pie Filling Or Topping,"Apple slices, water, high fructose corn syrup, corn syrup, food starch-modified (corn) and citric acid.",85 g (0.333 cup)
Iodized Salt,"Salt, sodium silicoaluminate, dextrose, potassium iodide 0.006%, and sodium bicarbonate.",1.5 g (0.25 tsp)
Sparkling Beverage,"Carbonated water, citric acid, natural flavor, potassium benzoate (a preservative), sucralose, and acesulfame potassium.",240 ml (8 fl oz)
Mixed Nuts,"Peanuts, almonds, cashews, brazil nuts, hazelnuts (filberts), pecans, roasted in peanuts, and/or cottonseed, and/or sunflower seed, and/or canola oil, salt.",28 g (1 oz)
Roasted & Salted Almonds,"Almonds roasted in peanut, and/or cottonseed, and/or sunflower seed, and/or canola oil, salt.",28 g (1 oz)
100% Natural Non-Stick Canola Cooking Spray Oil,"Canola oil, lecithin from soybeans, rosemary extract, dimethyl silicone, propellant.",0.3 g (0.25 SEC. SPRAY)
Corned Beef,"Cooked beef, beef, salt, sugar and sodium nitrite.",56 g (2 ONZ)
Chunk Hum,"Ham (cured with water, salt, sugar, spices, carrageenan, sodium phosphate, sodium erythorbate, sodium nitrite), smoke flavor.",56 g (2 oz)
Classic Lemonade,"Filtered water, high fructose corn syrup, lemon juice concentrate, natural lemon flavor, citric acid, yellow 5",240 ml (8 fl oz)
Juice From Concentrate,"Filtered water, high fructose, corn syrup, natural flavors, lemon juice concentrate, citric acid, strawberry juice concentrate, red 40",240 ml (8 fl oz)
Original Potato Chips,"Potatoes, vegetable oil (sunflower and/or corn and/or canola and/or cottonseed), salt.",28 g (15 CHIPS | ABOUT)
Iced Tea Mix With Sugar And Natural Lemon Flavor,"Sugar, citric acid, instant tea, caramel color, natural lemon flavor, artificial color, (f.d & c red #40).",19 g (1.5 Tbsp)
Soft Peppermint Puffs,"Pure cane sugar, invert sugar, oil, of peppermint, red 40 and red 40 lake.",16 g (3 PIECES)
"Swirl Lollipops, Artificially","Sugar, corn syrup, maltodextrin, water, artificial flavor, titanium dioxide (for color), fd&c red no. 40, fd&c red no. 3.",17 g (1 PIECE)
Scary Eyeball Gum,"Sugar, gum base, corn syrup, artificial flavor, titanium dioxide, carnauba wax, arabic gum, fd&c red no. 40.",7 g (1 PIECE)
Worcestershire Sauce,"Distilled vinegar, molasses, water, sugar, salt, caramel color, spices, anchovies, natural flavor, garlic powder, tamarind",5 ml (1 tsp)
Evaporated Milk,"Whole milk, disodium phosphate (source of phosphorus, carrageenan (thickener) and vitamin d.",30 ml (2 Tbsp)
Minced Garlic,"Garlic granule, water, citric acid (acidulant).",5 g (1 tsp)
100% Grated Parmesan Cheese,"Made from cow's milk, cheese culture, salt & enzymes. powdered cellulose added to prevent caking.",5 g (1 Tbsp)
Kosher Dill Baby Wholes,"Gherkins, water, vinegar, salt, calcium chloride, natural flavors, fd&c yellow no. 5.",28 g (1 oz)
Medium Pitted Black Olives,"Water, ripe olives, salt, and ferrous gluconate (added to stabilize color).",15 g (15 g)
Stuffed Manzanilla Olives With Minced Pimento,"Manzanilla olives, water, minced pimento (pimento, sodium alginate, guar gum, calcium chloride), salt, lactic acid, citric acid, ascorbic acid.",15 g (15 g)
Wide Egg Noodles,"Semolina, durum flour, egg yolks, vitamins and minerals: nicotidamine, ferrous sulfate (iron), thiamin mononitrate, riboflavin and folic acid.",60 g (1.25 cup)
Premium Chunk Chicken Breast In Water,"Chicken breast meat, water, contains less than 2% of the following ingredients: modified food starch, salt, sodium phosphates.",56 g (2 oz)
Instant Mashed Potatoes,"Ingredients: dehydrated potatoes (freshness preserved with acid pyrophosphate, sodium bisulfite, and citric acid), mono-and diglycerides.",22 g (0.33 cup)
Butterscotch Discs Hard Candy,"Glucose syrup, sugar, salt, artificial flavors, sunflower oil, artificial colors (titanium dioxide, fd&c yellow #5, fd&c yellow #6).",18 g (3 PIECES)
"Starlight Mints, Peppermint","Corn syrup, sugar, sunflower oil, artificial colors (titanium dioxide, fd&c red #40, fd&c blue #1), natural flavor.",15 g (3 PIECES)
Lollipops,"Sugar, corn syrup, water, artificial flavor, titanium dioxide (for color), artificial colors (red 40, yellow 5).",16 g (2 LOLLIPOPS)
Chicken Breast With Rib Meat In Water,"White chicken meat, water, contains less than 2% of the following:salt, modified food starch, sodium phosphates.",56 g (2 oz)
Jalapeno Slices,"Jalapenos, water, vinegar, salt, calcium chloride.",30 g (0.333 cup)
Lollipop,"Sugar, corn syrup, water, artificial flavors, artificial colors (red 3, red 40, yellow 5, yellow 6, blue 1), titanium dioxide",17 g (0.1 PIECES)
Red Juju Fish Candy,"Sugar, corn syrup, modified cornstarch, citric acid, natural & artificial flavors, carnauba wax, color (red 40).",40 g (9 PIECES)
Long Grain Enriched White Rice,"Long grain rice enriched with iron (ferric orthophosphate), niacin, thiamin mononitrate and folic acid.",45 g (0.75 CUP COOKED | DRY WT: ABOUT)
Mild Cheddar Cheese,"Pasteurized milk, cheese culture, salt, enzymes, and annatto [vegetable color].",28 g (1 ONZ)
"Giant Candy Cane, Natural Peppermint Flavor","Sugar, corn syrup, water, natural peppermint flavor, artificial colors (red 40, yellow 5, blue 1), titanium dioxide.",14 g (0.027 PIECE)
Potato Sticks,"Potatoes, vegetable oil (contains one or more of the following: cottonseed or palm oil), salt.",28 g (1 ONZ)
"Wow!, Swirl Lollipops","Sugar, corn syrup, water, artificial flavor, titanium dioxide (for color), fd&c red no. 40.",8 g (1 PIECE)
14 Heart Lollipops,"Sugar, glucose syrup, water, citric acid, artificial flavor, titanium dioxide (for color), artificial colors (red 40, red 3).",16 g (2 LOLLIPOPS)
Lollipop Bouquet,"Sugar, corn syrup, water, artificial flavor, lactic acid, sodium lactate, artificial color (fd&c red 40, red 3, blue 1).",16 g (2 PIECES)
Marshmallow Candy Mug,"Sugar, glucose syrup, water, glucose, modified corn starch sorbitol, gelatin, artificial flavors, artificial colors (red 40), titanium dioxide (for color).",42 g (1 PACKAGE)
Swirl Lollipops,"Sugar, corn syrup, water, maltodextrin, artificial flavor, titanium dioxide (for color), fd&c red no. 40, fd&c red no. 3.",17 g (1 PIECE)
Chunk Chunk Tuna In Oil,"Light tuna, soybean oil, water, vegetable broth, salt.",56 g (0.25 CUP | DRAINED ABOUT)
Root Beer Barrels,"Sugar, corn syrup, artificial flavor, artificial colors (red 40, yellow 5, red 40 lake, blue 1.",19 g (3 PIECES)
Lollipos,"Sugar, glucose syrup, water, citric acid, artificial flavors, titanium dioxide (for color), artificial colors (yellow 5, red 40).",16 g (2 LOLLIPOPS)
Mixed Nuts,"Peanut cashews, almonds, brazil nuts, pecans, roasted in peanut and/or cottonseed and/or sunflower seed and/or canola oil, salt.",28 g (0.25 CUP | ABOUT)
Deluxe Mix Nuts,"Cashews, almonds, brazil nuts, pecans, roasted in peanut, and/or cottonseed, and/or sunflower seed, and/or canola oil, sea salt.",28 g (0.25 CUP) | (ABOUT)
Lollipops,"Sugar, glucose syrup, water, citric acid, artificial flavors, titanium dioxide (for color), red 3, yellow 5, blue 1.",16 g (2 PIECES)
Yellow Mustard,"Distilled vinegar and water, #1 mustard seed, salt, tumeric, spices & paprika",5 g (1 tsp)
Apple Juice,"Filtered water, apple juice concentrate,ascorbic acid (vitamin c)",120 ml (4 fl oz)
Lollipops,"Sugar, corn syrup, citric acid, water, artificial flavors, fd&c yellow #5, fd&c red #40, fd&c yellow #6, fd&c blue #1.",10 g (1 POP)
Jumbo Lollipops,"Sugar, corn syrup, citric acid, artificial flavors, water, fd&c red #40, fd&c yellow #5, fd&c yellow #6, fd&c blue #1.",20 g (1 POP)
"Candy, Root Beers Barrels","Sugar, corn syrup, artificial flavors, water, fd&c red #40, fd&c yellow #5, fd&c blue #1.",13 g (2 PIECES)
Non-Stick Cooking Spray Oil,"Soybean oil, soy lecithin, natural flavors, beta carotene (color), dimethyl silicone (for anti-foaming), and propellant.",0.25 g (0.333 SEC. SPRAY)
Non-Stick Canola Cooking Spray Oil,"Canola oil, soy lecithin, dimethyl silicone (for anti-foaming), and propellant.",0.25 g (0.333 SEC. SPRAY)
Fat Free Chicken Broth,"Chicken stock (water, concentrated chicken stock), contains less than 2% of: salt, yeast extract, cane sugar, carrot powder, natural flavor.",240 ml (1 cup)
Tomato Ketchup,"Tomato concentrate, high fructose corn syrup, distilled vinegar, corn syrup, salt, less than 2% of: onion powder, spice, natural flavors.",17 g (1 Tbsp)
"La Fiesta, Curry Powder","Cayenne pepper, coriander, cloves, cumin, fennel, fenugreek, ginger, black pepper, turmeric, and salt.",4.5 g (0.5 tsp)
Pasta Para Duros,"Wheat flour, corn starch, iodized salt, sodium bocarbonated, artificial colors fd&c yellow #6, soybean oil.",14 g (0.5 ONZ)
"Fusilli Pasta, Whole Wheat",Ingredients: organic durum whole wheat.,56 g (0.75 cup)
British Maris Piper Just Bake Chips,"Pommes de terre (96%), huile de tournesol.",135 g
"Rose Valley, Butter, Salted Sweet Cream","Pasteurized rbgh-free sweet cream, salt.",14 g (1 Tbsp)
Pepper Sauce,"Fire roasted jalapenos, water, distilled vinegar, garlic powder, sugar, salt, ascorbic acid, citric acid, xanthan gum. calcium chloride",5 g (1 tsp)
Feista Juan's Red Taco Sauce,"Tomato puree (water, tomato paste), distilled vinegar, salt, spices, dried garlic, green peppers, onion powder, natural flavor",16 g (1 Tbsp)
Hot Sauce,"Red serrano peppers, vinegar, cane sugar, water, mango puree concentrate, salt, natural flavor",6 g (1 tsp)
"Orange Flavored Cranberries, Orange","Cranberries, sugar, natural orange and citrus flavor with other natural flavors, sunflower oil.",40 g (0.25 cup)
Enriched All Purpose Wheat And Grape Seed Flour Blend,"Enriched flour (wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid), chardonnay grape seed flour.",30 g (0.25 cup)
